epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.909,1.6745,3.51971,1.74248,0.0226,0.4808,0.06956,0.02799,1.88117,4.29698,1.98885,0.000408497,0.000408497,0.000408497
2,200.139,1.67827,2.91013,1.66181,0.58825,0.08262,0.07062,0.02741,1.97344,3.74413,2.21137,0.000797933,0.000797933,0.000797933
3,300.425,1.76978,2.98715,1.82198,0.52243,0.11379,0.03625,0.0154,2.07583,9.42302,2.79775,0.00115987,0.00115987,0.00115987
4,412.534,1.85262,3.00506,1.87879,0.0865,0.279,0.09661,0.03511,2.13545,8.4636,2.53951,0.00112625,0.00112625,0.00112625
5,531.24,1.796,2.99525,1.84374,0.57393,0.11158,0.06817,0.02677,2.02922,6.25859,2.46917,0.001085,0.001085,0.001085
6,685.197,1.83329,2.82589,1.80021,0.87286,0.0625,0.09297,0.03493,1.9419,3.90792,2.22702,0.00104375,0.00104375,0.00104375
7,868.397,1.79469,2.77388,1.81259,0.36225,0.23382,0.15661,0.07142,1.92319,3.63485,2.18633,0.0010025,0.0010025,0.0010025
8,1047.84,1.81043,2.62289,1.78337,0.1627,0.30178,0.17238,0.07372,1.96121,3.20116,2.18598,0.00096125,0.00096125,0.00096125
9,1229.98,1.75855,2.59105,1.7553,0.86488,0.11875,0.18541,0.07251,1.98256,3.28736,2.26048,0.00092,0.00092,0.00092
10,1387.58,1.71974,2.46497,1.71194,0.23637,0.22423,0.19103,0.08342,1.88179,3.15641,2.14115,0.00087875,0.00087875,0.00087875
11,1610.9,1.69789,2.37388,1.65303,0.64201,0.21702,0.22853,0.09897,1.79215,2.70545,2.03171,0.0008375,0.0008375,0.0008375
12,1804.44,1.61183,2.31769,1.66227,0.66091,0.17811,0.2165,0.104,1.8222,2.66402,2.12414,0.00079625,0.00079625,0.00079625
13,1993.9,1.59622,2.19422,1.62942,0.15806,0.29868,0.18522,0.09048,1.84599,2.79503,2.13011,0.000755,0.000755,0.000755
14,2177.82,1.61499,2.15624,1.65241,0.71977,0.25281,0.31576,0.15535,1.68076,2.27861,1.94009,0.00071375,0.00071375,0.00071375
15,2365.85,1.59819,2.10318,1.57945,0.56942,0.24812,0.32145,0.14739,1.7273,2.33282,1.92767,0.0006725,0.0006725,0.0006725
16,2585.04,1.54894,2.10667,1.60089,0.39162,0.32583,0.34677,0.17663,1.73393,2.37272,2.01012,0.00063125,0.00063125,0.00063125
17,2774.19,1.47872,1.99768,1.57487,0.6478,0.34161,0.34402,0.16018,1.71351,2.28027,1.98147,0.00059,0.00059,0.00059
18,2928.43,1.48606,1.94531,1.53484,0.72383,0.37372,0.41092,0.20273,1.62075,2.12042,1.90296,0.00054875,0.00054875,0.00054875
19,3090.82,1.48652,1.95853,1.5677,0.43006,0.34583,0.35625,0.19342,1.58387,2.18765,1.81232,0.0005075,0.0005075,0.0005075
20,3228.42,1.50999,1.98661,1.54403,0.6997,0.38333,0.41097,0.21094,1.58672,2.05799,1.79091,0.00046625,0.00046625,0.00046625
21,3373.76,1.42936,1.92675,1.5961,0.52848,0.33267,0.35122,0.17092,1.65666,2.28284,1.91196,0.000425,0.000425,0.000425
22,3521.9,1.33732,1.77138,1.51801,0.47232,0.40628,0.39955,0.21778,1.49707,2.07513,1.77375,0.00038375,0.00038375,0.00038375
23,3660.87,1.34826,1.67057,1.52668,0.55623,0.36296,0.39416,0.21115,1.58978,2.01652,1.82621,0.0003425,0.0003425,0.0003425
24,3795.35,1.33893,1.62644,1.54245,0.69155,0.37301,0.43409,0.25075,1.47333,1.96062,1.72585,0.00030125,0.00030125,0.00030125
25,3937.38,1.27204,1.58394,1.47774,0.54578,0.43746,0.44155,0.25198,1.51197,1.98376,1.75915,0.00026,0.00026,0.00026
26,4072.55,1.29078,1.56645,1.48537,0.71909,0.38508,0.45789,0.24283,1.49086,1.93761,1.75144,0.00021875,0.00021875,0.00021875
27,4211.43,1.27411,1.53505,1.44858,0.72671,0.44316,0.48737,0.28492,1.43953,1.85107,1.6836,0.0001775,0.0001775,0.0001775
28,4360.17,1.23512,1.46092,1.41891,0.6287,0.4633,0.48763,0.29161,1.41556,1.80151,1.6553,0.00013625,0.00013625,0.00013625
29,4512.59,1.18514,1.41148,1.39247,0.8934,0.41722,0.49419,0.29388,1.39585,1.77599,1.64722,9.5e-05,9.5e-05,9.5e-05
30,4652.21,1.19918,1.40033,1.402,0.84489,0.42041,0.49276,0.30055,1.38493,1.71936,1.65914,5.375e-05,5.375e-05,5.375e-05
