epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.056,1.02644,2.9235,1.21878,0.41093,0.36036,0.33945,0.22186,1.33616,5.64401,1.25178,0.000328431,0.000328431,0.000328431
2,268.072,0.94619,1.45966,1.16641,0.15372,0.34681,0.22796,0.09148,2.03478,4.05575,1.81959,0.000661603,0.000661603,0.000661603
3,386.262,0.95799,1.33193,1.17577,0.56943,0.40453,0.39168,0.23672,1.51267,1.97006,1.48385,0.000994126,0.000994126,0.000994126
4,507.786,0.90969,1.17769,1.15121,0.34499,0.49926,0.39483,0.24844,1.39981,2.30665,1.30954,0.000997803,0.000997803,0.000997803
5,627.331,0.86585,1.118,1.12947,0.52491,0.46448,0.46995,0.33107,1.31139,1.70718,1.21988,0.000996097,0.000996097,0.000996097
6,750.129,0.8442,1.03719,1.12199,0.61121,0.55965,0.56308,0.41442,1.17029,1.60032,1.1461,0.000993906,0.000993906,0.000993906
7,870.957,0.81911,1.01316,1.10057,0.52014,0.67693,0.59461,0.43447,1.136,1.28331,1.11073,0.000991232,0.000991232,0.000991232
8,998.569,0.80295,0.97224,1.10017,0.39708,0.67915,0.55841,0.37878,1.17587,1.30632,1.13853,0.000988079,0.000988079,0.000988079
9,1124.44,0.77684,0.9187,1.0889,0.444,0.50232,0.48759,0.30845,1.29869,1.54761,1.21829,0.000984449,0.000984449,0.000984449
10,1244.93,0.77664,0.94376,1.08741,0.45321,0.64448,0.56609,0.40593,1.1901,1.29915,1.17154,0.000980345,0.000980345,0.000980345
11,1366.2,0.79491,0.93862,1.10242,0.36461,0.66397,0.52998,0.39635,1.12815,1.93941,1.10786,0.000975773,0.000975773,0.000975773
12,1494.97,0.74568,0.86744,1.07393,0.54253,0.68739,0.64494,0.46281,1.16126,1.14184,1.1491,0.000970736,0.000970736,0.000970736
13,1625.34,0.76088,0.84392,1.07971,0.49859,0.59247,0.56387,0.40552,1.08364,1.21998,1.08293,0.000965239,0.000965239,0.000965239
14,1750.38,0.75281,0.89544,1.06865,0.83732,0.50983,0.64052,0.48742,1.04511,1.37273,1.04171,0.000959289,0.000959289,0.000959289
15,1876.62,0.72518,0.83626,1.06206,0.67404,0.55227,0.63429,0.48462,1.08697,1.4582,1.10067,0.000952889,0.000952889,0.000952889
16,2000.23,0.73659,0.84267,1.07448,0.56683,0.61256,0.63517,0.48017,1.05065,1.32958,1.07972,0.000946048,0.000946048,0.000946048
17,2124.06,0.74316,0.79954,1.06303,0.65533,0.63362,0.69732,0.52077,1.06793,1.02923,1.06587,0.000938772,0.000938772,0.000938772
